numero_experimento;dataset;estructura_de_datos;cantidad_consultas;tiempo_ejecucion_us
2;auspol2019;OpenHash_ScreenName;70000;9996
2;auspol2019;OpenHash_ScreenName;80000;11119
2;auspol2019;OpenHash_ScreenName;90000;12192
2;auspol2019;OpenHash_ScreenName;100000;13273
2;auspol2019;OpenHash_ScreenName;110000;14690
2;auspol2019;OpenHash_ScreenName;120000;15952
2;auspol2019;OpenHash_ScreenName;130000;17147
2;auspol2019;OpenHash_ScreenName;130449;17213
2;auspol2019;ClosedHash_Linear_UserID;10000;111
2;auspol2019;ClosedHash_Linear_UserID;20000;247
2;auspol2019;ClosedHash_Linear_UserID;30000;383
2;auspol2019;ClosedHash_Linear_UserID;40000;518
2;auspol2019;ClosedHash_Linear_UserID;50000;654
2;auspol2019;ClosedHash_Linear_UserID;60000;781
2;auspol2019;ClosedHash_Linear_UserID;70000;892
2;auspol2019;ClosedHash_Linear_UserID;80000;994
2;auspol2019;ClosedHash_Linear_UserID;90000;1103
2;auspol2019;ClosedHash_Linear_UserID;100000;1199
2;auspol2019;ClosedHash_Linear_UserID;110000;1361
2;auspol2019;ClosedHash_Linear_UserID;120000;1502
2;auspol2019;ClosedHash_Linear_UserID;130000;1629
2;auspol2019;ClosedHash_Linear_UserID;130449;1638
2;auspol2019;ClosedHash_Linear_ScreenName;10000;1084
2;auspol2019;ClosedHash_Linear_ScreenName;20000;2206
2;auspol2019;ClosedHash_Linear_ScreenName;30000;3403
2;auspol2019;ClosedHash_Linear_ScreenName;40000;4588
2;auspol2019;ClosedHash_Linear_ScreenName;50000;5764
2;auspol2019;ClosedHash_Linear_ScreenName;60000;6938
2;auspol2019;ClosedHash_Linear_ScreenName;70000;8041
2;auspol2019;ClosedHash_Linear_ScreenName;80000;9120
2;auspol2019;ClosedHash_Linear_ScreenName;90000;10198
2;auspol2019;ClosedHash_Linear_ScreenName;100000;11260
2;auspol2019;ClosedHash_Linear_ScreenName;110000;12480
2;auspol2019;ClosedHash_Linear_ScreenName;120000;13639
2;auspol2019;ClosedHash_Linear_ScreenName;130000;14755
2;auspol2019;ClosedHash_Linear_ScreenName;130449;14811
2;auspol2019;ClosedHash_Quad_UserID;10000;195
2;auspol2019;ClosedHash_Quad_UserID;20000;368
2;auspol2019;ClosedHash_Quad_UserID;30000;524
2;auspol2019;ClosedHash_Quad_UserID;40000;674
2;auspol2019;ClosedHash_Quad_UserID;50000;825
2;auspol2019;ClosedHash_Quad_UserID;60000;966
2;auspol2019;ClosedHash_Quad_UserID;70000;1083
2;auspol2019;ClosedHash_Quad_UserID;80000;1192
2;auspol2019;ClosedHash_Quad_UserID;90000;1300
2;auspol2019;ClosedHash_Quad_UserID;100000;1400
2;auspol2019;ClosedHash_Quad_UserID;110000;1546
2;auspol2019;ClosedHash_Quad_UserID;120000;1669
2;auspol2019;ClosedHash_Quad_UserID;130000;1785
2;auspol2019;ClosedHash_Quad_UserID;130449;1792
2;auspol2019;ClosedHash_Quad_ScreenName;10000;1368
2;auspol2019;ClosedHash_Quad_ScreenName;20000;2529
2;auspol2019;ClosedHash_Quad_ScreenName;30000;3604
2;auspol2019;ClosedHash_Quad_ScreenName;40000;4661
2;auspol2019;ClosedHash_Quad_ScreenName;50000;5694
2;auspol2019;ClosedHash_Quad_ScreenName;60000;6734
2;auspol2019;ClosedHash_Quad_ScreenName;70000;7724
2;auspol2019;ClosedHash_Quad_ScreenName;80000;8701
2;auspol2019;ClosedHash_Quad_ScreenName;90000;9678
2;auspol2019;ClosedHash_Quad_ScreenName;100000;10645
2;auspol2019;ClosedHash_Quad_ScreenName;110000;11717
2;auspol2019;ClosedHash_Quad_ScreenName;120000;12734
2;auspol2019;ClosedHash_Quad_ScreenName;130000;13730
2;auspol2019;ClosedHash_Quad_ScreenName;130449;13828
2;auspol2019;ClosedHash_Double_UserID;10000;119
2;auspol2019;ClosedHash_Double_UserID;20000;262
2;auspol2019;ClosedHash_Double_UserID;30000;406
2;auspol2019;ClosedHash_Double_UserID;40000;554
2;auspol2019;ClosedHash_Double_UserID;50000;702
2;auspol2019;ClosedHash_Double_UserID;60000;845
2;auspol2019;ClosedHash_Double_UserID;70000;967
2;auspol2019;ClosedHash_Double_UserID;80000;1078
